,,,,,,,,,,,,,
PUBLISHED PST,STAGE,5 TO GO,SHOWDOWN,SMOKE & HOPE,OUTER LIMITS,ACCELERATOR,THE PENDULUM,SPEED OPTION,ROUNDABOUT, ,,Classification,Letter
,Division,SC-101,SC-102,SC-103,SC-104,SC-105,SC-106,SC-107,SC-108,Total Peak,,95,G
,ISR,13.5,12,10.5,15.75,13,14.25,14,11,104,,85,M
,LTD,12.5,9.5,9.5,13.5,10.5,12.5,12.5,9.5,90,,75,A
,OSR,12.25,10.5,10,14.25,12.75,13.5,12.75,10.5,96.5,,60,B
,RFPI,10.5,9,8,13,9.5,11.5,11,8.5,81,,40,C
,RFPO,9,7.5,7,11.5,8.5,9.5,10,7.5,70.5,,0,D
,RFRO,9.5,7,7,11,8.5,9,9,7,68,,,
,PROD,13,10,10,14,11.5,13,13,10,94.5,,,
,RFRI,10,7.5,7.5,12,9,10,10.25,7.75,74,,,
,OPN,11.5,9.5,8.5,12.5,10.5,11.5,11.5,8.5,84,,,
,SS,13.25,10.5,10.25,14.75,11.75,13.5,13.5,10.5,98,,,
,CO,13,10,10,14,11,13,13,10,94,,,
,PCCO,9.5,7,7,11.5,8.75,9.25,9.5,7.5,70,,,
,PCCI,11,8.5,8,12.5,10,11,11,8,80,,, 
